feature,method,score,leak_risk
CEO_Jon R. Moeller,Pearson,0.0604,Low
company_Procter & Gamble,Pearson,0.0604,Low
Website_www.pg.com,Pearson,0.0604,Low
prev_rank_26.0,Pearson,0.0597,Low
Website_www.comcastcorporation.com,Pearson,0.0597,Low
company_Comcast,Pearson,0.0597,Low
Ticker_CMCSA,Pearson,0.0597,Low
CEO_Brian L. Roberts,Pearson,0.0597,Low
Ticker_ORCL,Pearson,0.0576,Low
CEO_Safra A. Catz,Pearson,0.0576,Low
prev_rank_80.0,Pearson,0.0576,Low
company_Oracle,Pearson,0.0576,Low
Website_www.oracle.com,Pearson,0.0576,Low
CEO_C. Douglas McMillon,Pearson,0.0573,Low
prev_rank_1.0,Pearson,0.0573,Low
company_Walmart,Pearson,0.0573,Low
Ticker_WMT,Pearson,0.0573,Low
city_Bentonville,Pearson,0.0573,Low
Website_https://www.stock.walmart.com,Pearson,0.0573,Low
company_eBay,Pearson,0.057,Low
CEO_Jamie Iannone,Pearson,0.057,Low
prev_rank_276.0,Pearson,0.057,Low
Ticker_EBAY,Pearson,0.057,Low
Website_https://www.ebay.com,Pearson,0.057,Low
Ticker_MRK,Pearson,0.0542,Low
Website_https://www.merck.com,Pearson,0.0542,Low
city_Kenilworth,Pearson,0.0542,Low
CEO_Robert Davis,Pearson,0.0542,Low
prev_rank_65.0,Pearson,0.0542,Low
company_Merck,Pearson,0.0542,Low
Website_www.ups.com,Pearson,0.0534,Low
Ticker_UPS,Pearson,0.0534,Low
CEO_Carol B. Tomé,Pearson,0.0534,Low
company_United Parcel Service,Pearson,0.0534,Low
prev_rank_35.0,Pearson,0.0534,Low
Ticker_COF,Pearson,0.0509,Low
company_Capital One Financial,Pearson,0.0509,Low
Website_www.capitalone.com,Pearson,0.0509,Low
prev_rank_99.0,Pearson,0.0509,Low
CEO_Richard D. Fairbank,Pearson,0.0509,Low
Website_https://www.visa.com,Pearson,0.0505,Low
Ticker_V,Pearson,0.0505,Low
prev_rank_133.0,Pearson,0.0505,Low
company_Visa,Pearson,0.0505,Low
CEO_Alfred F. Kelly Jr.,Pearson,0.0505,Low
city_San Ramon,Pearson,0.0503,Low
CEO_Stephane Bancel,Pearson,0.05,Low
Website_https://www.modernatx.com,Pearson,0.05,Low
Ticker_MRNA,Pearson,0.05,Low
company_Moderna,Pearson,0.05,Low
prev_rank_47.0,Pearson,0.0495,Low
Ticker_FMCC,Pearson,0.0495,Low
company_Freddie Mac,Pearson,0.0495,Low
Website_www.freddiemac.com,Pearson,0.0495,Low
CEO_Michael J. DeVito,Pearson,0.0495,Low
city_Washington,Pearson,0.0483,Low
state_DC,Pearson,0.0483,Low
sector_Wholesalers,Pearson,0.0472,Low
city_North Chicago,Pearson,0.0467,Low
company_AbbVie,Pearson,0.0467,Low
Ticker_ABBV,Pearson,0.0467,Low
CEO_Richard A. Gonzalez,Pearson,0.0467,Low
prev_rank_68.0,Pearson,0.0467,Low
Website_www.abbvie.com,Pearson,0.0467,Low
city_Charlotte,Pearson,0.0449,Low
sector_Industrials,Pearson,0.0441,Low
prev_rank_38.0,Pearson,0.0426,Low
Ticker_GE,Pearson,0.0426,Low
company_General Electric,Pearson,0.0426,Low
Website_www.ge.com,Pearson,0.0426,Low
CEO_H. Lawrence Culp Jr.,Pearson,0.0426,Low
CEO_Charles H. Robbins,Pearson,0.042,Low
Website_www.cisco.com,Pearson,0.042,Low
prev_rank_63.0,Pearson,0.042,Low
company_Cisco Systems,Pearson,0.042,Low
Ticker_CSCO,Pearson,0.042,Low
sector_Materials,Pearson,0.0415,Low
state_FL,Pearson,0.0404,Low
sector_Engineering & Construction,Pearson,0.0402,Low
CEO_Mary T. Barra,Pearson,0.0392,Low
company_General Motors,Pearson,0.0392,Low
Website_www.gm.com,Pearson,0.0392,Low
prev_rank_22.0,Pearson,0.0392,Low
Ticker_GM,Pearson,0.0392,Low
city_Santa Clara,Pearson,0.0389,Low
city_Seattle,Pearson,0.0385,Low
state_PA,Pearson,0.0383,Low
Ticker_KO,Pearson,0.038,Low
CEO_James R. Quincey,Pearson,0.038,Low
Website_www.coca-colacompany.com,Pearson,0.038,Low
company_Coca-Cola,Pearson,0.038,Low
prev_rank_93.0,Pearson,0.038,Low
Website_https://www.nvidia.com,Pearson,0.0379,Low
company_Nvidia,Pearson,0.0379,Low
sector_Business Services,Pearson,0.0379,Low
Ticker_NVDA,Pearson,0.0379,Low
CEO_Jensen Huang,Pearson,0.0379,Low
prev_rank_184.0,Pearson,0.0379,Low
Website_www.marathonpetroleum.com,Pearson,0.0378,Low
company_Marathon Petroleum,Pearson,0.0378,Low
Ticker_MPC,Pearson,0.0378,Low
city_Findlay,Pearson,0.0378,Low
prev_rank_32.0,Pearson,0.0378,Low
CEO_Michael J. Hennigan,Pearson,0.0378,Low
"sector_Hotels, Restaurants & Leisure",Pearson,0.0375,Low
Website_www.aig.com,Pearson,0.0361,Low
prev_rank_72.0,Pearson,0.0361,Low
CEO_Peter S. Zaffino,Pearson,0.0361,Low
company_American International Group,Pearson,0.0361,Low
Ticker_AIG,Pearson,0.0361,Low
CEO_Jacek Olczak,Pearson,0.0347,Low
Ticker_PM,Pearson,0.0347,Low
prev_rank_101.0,Pearson,0.0347,Low
Website_www.pmi.com,Pearson,0.0347,Low
company_Philip Morris International,Pearson,0.0347,Low
