feature,method,score,leak_risk
CEO_Thomas J. Quinlan III,Pearson,0.0103,Low
Ticker_RRD,Pearson,0.0103,Low
city_Dublin,Pearson,0.0103,Low
Ticker_EXPE,Pearson,0.0103,Low
prev_rank_148.0,Pearson,0.0103,Low
Ticker_PBI,Pearson,0.0103,Low
company_Granite Construction,Pearson,0.0103,Low
CEO_Mark D. Dankberg,Pearson,0.0103,Low
company_Harsco,Pearson,0.0103,Low
Ticker_HSC,Pearson,0.0103,Low
Website_https://www.aam.com,Pearson,0.0103,Low
Website_https://www.harsco.com,Pearson,0.0103,Low
Website_https://www.viasat.com,Pearson,0.0103,Low
Website_https://www.graniteconstruction.com,Pearson,0.0103,Low
Ticker_DHI,Pearson,0.0103,Low
Ticker_SCSC,Pearson,0.0103,Low
CEO_Michael L. Baur,Pearson,0.0103,Low
CEO_Charles M. Nifong Jr.,Pearson,0.0102,Low
Website_https://www.steelcase.com,Pearson,0.0102,Low
Website_https://www.bench.com,Pearson,0.0102,Low
company_AppLovin,Pearson,0.0102,Low
Ticker_SM,Pearson,0.0102,Low
Website_https://www.tenneco.com,Pearson,0.0102,Low
Website_https://www.kbr.com,Pearson,0.0102,Low
Ticker_ENLC,Pearson,0.0102,Low
CEO_Jesse Arenivas,Pearson,0.0102,Low
CEO_Jeffrey W. Benck,Pearson,0.0102,Low
CEO_Adam Foroughi,Pearson,0.0102,Low
Ticker_SCS,Pearson,0.0102,Low
Website_https://www.sm-energy.com,Pearson,0.0102,Low
CEO_Stuart J.B. Bradie,Pearson,0.0102,Low
Ticker_BHE,Pearson,0.0102,Low
Website_https://www.crossamericapartners.com,Pearson,0.0102,Low
Ticker_APP,Pearson,0.0102,Low
company_CrossAmerica Partners,Pearson,0.0102,Low
company_Benchmark Electronics,Pearson,0.0102,Low
CEO_Herbert S. Vogel,Pearson,0.0102,Low
company_SM Energy,Pearson,0.0102,Low
company_KBR,Pearson,0.0102,Low
company_Tenneco,Pearson,0.0102,Low
prev_rank_470.0,Pearson,0.0102,Low
company_Workday,Pearson,0.0102,Low
Ticker_KBR,Pearson,0.0102,Low
Ticker_CAPL,Pearson,0.0102,Low
Website_https://www.workday.com,Pearson,0.0102,Low
company_EnLink Midstream,Pearson,0.0102,Low
prev_rank_199.0,Pearson,0.0102,Low
Website_https://www.applovin.com,Pearson,0.0102,Low
CEO_Sara E. Armbruster,Pearson,0.0102,Low
city_Pleasanton,Pearson,0.0102,Low
company_Steelcase,Pearson,0.0102,Low
Website_https://www.enlink.com,Pearson,0.0102,Low
CEO_Brian J. Kesseler,Pearson,0.0102,Low
Ticker_TEN,Pearson,0.0102,Low
Ticker_WDAY,Pearson,0.0102,Low
Ticker_VTR,Pearson,0.0101,Low
Ticker_VAC,Pearson,0.0101,Low
company_REV Group,Pearson,0.0101,Low
Ticker_VC,Pearson,0.0101,Low
CEO_Debra A. Cafaro,Pearson,0.0101,Low
prev_rank_114.0,Pearson,0.0101,Low
Website_https://www.quad.com,Pearson,0.0101,Low
CEO_George L. Holm,Pearson,0.0101,Low
company_TTM Technologies,Pearson,0.0101,Low
company_Marriott Vacations Worldwide,Pearson,0.0101,Low
CEO_Sachin S. Lawande,Pearson,0.0101,Low
CEO_Steven E. Nielsen,Pearson,0.0101,Low
Website_https://www.dycomind.com,Pearson,0.0101,Low
city_Santa Ana,Pearson,0.0101,Low
Ticker_PFGC,Pearson,0.0101,Low
Ticker_REVG,Pearson,0.0101,Low
Ticker_QUAD,Pearson,0.0101,Low
Ticker_BV,Pearson,0.0101,Low
Website_https://www.advantagesolutions.net,Pearson,0.0101,Low
Website_https://www.apigroupcorp.com,Pearson,0.0101,Low
CEO_Thomas T. Edman,Pearson,0.0101,Low
Ticker_JOAN,Pearson,0.0101,Low
city_New Brighton,Pearson,0.0101,Low
city_Blue Bell,Pearson,0.0101,Low
Website_https://www.revgroup.com,Pearson,0.0101,Low
Ticker_ADV,Pearson,0.0101,Low
Ticker_TTMI,Pearson,0.0101,Low
company_Quad/Graphics,Pearson,0.0101,Low
Website_https://www.joann.com,Pearson,0.0101,Low
Website_https://www.marriottvacationsworldwide.com,Pearson,0.0101,Low
CEO_Russell A. Becker,Pearson,0.0101,Low
company_Advantage Solutions,Pearson,0.0101,Low
CEO_Stephen P. Weisz,Pearson,0.0101,Low
company_APi Group,Pearson,0.0101,Low
Website_www.pfgc.com,Pearson,0.0101,Low
Website_https://www.visteon.com,Pearson,0.0101,Low
city_McKinney,Pearson,0.0101,Low
CEO_Jill Griffin,Pearson,0.0101,Low
Website_https://www.ventasreit.com,Pearson,0.0101,Low
city_Sussex,Pearson,0.0101,Low
company_BrightView Holdings,Pearson,0.0101,Low
Website_https://www.ttm.com,Pearson,0.0101,Low
CEO_Rodney N. Rushing,Pearson,0.0101,Low
Website_https://www.brightview.com,Pearson,0.0101,Low
company_Joann,Pearson,0.0101,Low
CEO_Andrew V. Masterman,Pearson,0.0101,Low
company_Ventas,Pearson,0.0101,Low
company_Performance Food Group,Pearson,0.0101,Low
CEO_J. Joel Quadracci,Pearson,0.0101,Low
company_Visteon,Pearson,0.0101,Low
CEO_Wade D. Miquelon,Pearson,0.0101,Low
company_Dycom Industries,Pearson,0.0101,Low
Ticker_APG,Pearson,0.0101,Low
Ticker_DY,Pearson,0.0101,Low
city_Van Buren Township,Pearson,0.0101,Low
company_Targa Resources,Pearson,0.01,Low
company_Plains GP Holdings,Pearson,0.01,Low
city_Rockford,Pearson,0.01,Low
Ticker_PSN,Pearson,0.01,Low
company_GEO Group,Pearson,0.01,Low
Ticker_HNI,Pearson,0.01,Low
CEO_David M. Overton,Pearson,0.01,Low
Ticker_TBI,Pearson,0.01,Low
Ticker_INT,Pearson,0.01,Low
company_ARKO,Pearson,0.01,Low
Website_www.plains.com,Pearson,0.01,Low
city_Calabasas Hills,Pearson,0.01,Low
company_Cheesecake Factory,Pearson,0.01,Low
Website_https://www.groceryoutlet.com,Pearson,0.01,Low
prev_rank_364.0,Pearson,0.01,Low
Ticker_CNXN,Pearson,0.01,Low
CEO_Jose Gordo,Pearson,0.01,Low
Website_https://www.wolverineworldwide.com,Pearson,0.01,Low
Ticker_CAKE,Pearson,0.01,Low
Ticker_PAGP,Pearson,0.01,Low
Website_https://www.geogroup.com,Pearson,0.01,Low
company_Wolverine World Wide,Pearson,0.01,Low
company_Hanesbrands,Pearson,0.01,Low
Ticker_KAR,Pearson,0.01,Low
company_Enovis,Pearson,0.01,Low
city_Muscatine,Pearson,0.01,Low
Ticker_HBI,Pearson,0.01,Low
Website_https://www.parsons.com,Pearson,0.01,Low
company_Global Partners,Pearson,0.01,Low
Website_https://www.euronetworldwide.com,Pearson,0.01,Low
Website_https://www.arkocorp.com,Pearson,0.01,Low
Website_https://www.enovis.com,Pearson,0.01,Low
CEO_Wilfred C.W. Chiang,Pearson,0.01,Low
CEO_Brendan L. Hoffman,Pearson,0.01,Low
CEO_Roel Vestjens,Pearson,0.01,Low
prev_rank_329.0,Pearson,0.01,Low
Ticker_GEO,Pearson,0.01,Low
Ticker_GLP,Pearson,0.01,Low
CEO_Matthew J. Meloy,Pearson,0.01,Low
CEO_Matthew L. Trerotola,Pearson,0.01,Low
city_Centreville,Pearson,0.01,Low
CEO_Jonathan M. Pertchik,Pearson,0.01,Low
company_TrueBlue,Pearson,0.01,Low
company_TravelCenters of America,Pearson,0.01,Low
Website_https://www.globalp.com,Pearson,0.01,Low
Website_https://www.spartannash.com,Pearson,0.01,Low
Website_https://www.hnicorp.com,Pearson,0.01,Low
Website_https://www.hanes.com,Pearson,0.01,Low
company_Kar Auction Services,Pearson,0.01,Low
prev_rank_361.0,Pearson,0.01,Low
Ticker_BDC,Pearson,0.01,Low
CEO_Carey A. Smith,Pearson,0.01,Low
city_Merrimack,Pearson,0.01,Low
company_SpartanNash,Pearson,0.01,Low
company_World Fuel Services,Pearson,0.01,Low
prev_rank_147.0,Pearson,0.01,Low
Ticker_ARKO,Pearson,0.01,Low
CEO_Timothy J. McGrath,Pearson,0.01,Low
CEO_Tony B. Sarsam,Pearson,0.01,Low
CEO_Michael J. Kasbar,Pearson,0.01,Low
city_Emeryville,Pearson,0.01,Low
city_Tacoma,Pearson,0.01,Low
Website_https://www.connection.com,Pearson,0.01,Low
city_Winston-Salem,Pearson,0.01,Low
Ticker_ENOV,Pearson,0.01,Low
Ticker_EEFT,Pearson,0.01,Low
CEO_Arie Kotler,Pearson,0.01,Low
Website_https://www.thecheesecakefactory.com,Pearson,0.01,Low
CEO_Eric Slifka,Pearson,0.01,Low
city_Byron Center,Pearson,0.01,Low
CEO_Steven C. Cooper,Pearson,0.01,Low
company_Euronet Worldwide,Pearson,0.01,Low
company_Belden,Pearson,0.01,Low
CEO_Eric J. Lindberg Jr.,Pearson,0.01,Low
prev_rank_127.0,Pearson,0.01,Low
city_Toledo,Pearson,0.01,Low
Website_https://www.trueblue.com,Pearson,0.01,Low
company_HNI,Pearson,0.01,Low
Ticker_GO,Pearson,0.01,Low
company_Grocery Outlet Holding,Pearson,0.01,Low
Website_https://www.targaresources.com,Pearson,0.01,Low
Website_https://www.ta-petro.com,Pearson,0.01,Low
Website_https://www.belden.com,Pearson,0.01,Low
Ticker_TA,Pearson,0.01,Low
prev_rank_432.0,Pearson,0.01,Low
CEO_Michael J. Brown,Pearson,0.01,Low
CEO_Jeffrey D. Lorenger,Pearson,0.01,Low
company_PC Connection,Pearson,0.01,Low
Ticker_TRGP,Pearson,0.01,Low
company_Parsons,Pearson,0.01,Low
CEO_Peter J. Kelly,Pearson,0.01,Low
Website_https://www.karglobal.com,Pearson,0.01,Low
CEO_Stephen B. Bratspies,Pearson,0.01,Low
Ticker_SPTN,Pearson,0.01,Low
Website_www.wfscorp.com,Pearson,0.01,Low
Ticker_WWW,Pearson,0.01,Low
Ticker_TPC,Pearson,0.0099,Low
Ticker_MYRG,Pearson,0.0099,Low
Ticker_NCR,Pearson,0.0099,Low
CEO_Glenn Sanford,Pearson,0.0099,Low
Ticker_GFF,Pearson,0.0099,Low
company_Gray Television,Pearson,0.0099,Low
company_Griffon,Pearson,0.0099,Low
Ticker_GTN,Pearson,0.0099,Low
city_Sylmar,Pearson,0.0099,Low
Ticker_EXPI,Pearson,0.0099,Low
company_Tutor Perini,Pearson,0.0099,Low
CEO_Richard S. Swartz,Pearson,0.0099,Low
company_NCR,Pearson,0.0099,Low
company_MYR Group,Pearson,0.0099,Low
prev_rank_446.0,Pearson,0.0099,Low
Website_https://www.myrgroup.com,Pearson,0.0099,Low
Website_https://www.ncr.com,Pearson,0.0099,Low
Website_https://www.griffon.com,Pearson,0.0099,Low
Website_https://www.gray.tv,Pearson,0.0099,Low
CEO_Ronald J. Kramer,Pearson,0.0099,Low
Website_https://www.tutorperini.com,Pearson,0.0099,Low
company_eXp World Holdings,Pearson,0.0099,Low
CEO_Ronald N. Tutor,Pearson,0.0099,Low
city_Calhoun,Pearson,0.0099,Low
city_Bellingham,Pearson,0.0099,Low
CEO_Michael D. Hayford,Pearson,0.0099,Low
Website_https://www.expworldholdings.com,Pearson,0.0099,Low
city_Redwood City,Pearson,0.0099,Low
company_Brink's,Pearson,0.0098,Low
Ticker_SNEX,Pearson,0.0098,Low
Website_https://www.championx.com,Pearson,0.0098,Low
CEO_Frank Martell,Pearson,0.0098,Low
city_Westchester,Pearson,0.0098,Low
Ticker_GCO,Pearson,0.0098,Low
Ticker_GMS,Pearson,0.0098,Low
company_Genesco,Pearson,0.0098,Low
CEO_John C. Turner Jr.,Pearson,0.0098,Low
city_Tucker,Pearson,0.0098,Low
CEO_James P. Zallie,Pearson,0.0098,Low
Ticker_INGR,Pearson,0.0098,Low
company_GMS,Pearson,0.0098,Low
city_St. George,Pearson,0.0098,Low
city_Sunbury,Pearson,0.0098,Low
CEO_Charles Liang,Pearson,0.0098,Low
Ticker_PRIM,Pearson,0.0098,Low
company_ChampionX,Pearson,0.0098,Low
Ticker_PSMT,Pearson,0.0098,Low
Ticker_LDI,Pearson,0.0098,Low
Ticker_LHCG,Pearson,0.0098,Low
Ticker_SMCI,Pearson,0.0098,Low
Ticker_SKYW,Pearson,0.0098,Low
CEO_Mathew R. Ishbia,Pearson,0.0098,Low
CEO_Mark Eubanks,Pearson,0.0098,Low
company_PriceSmart,Pearson,0.0098,Low
company_Primoris Services,Pearson,0.0098,Low
Ticker_BCO,Pearson,0.0098,Low
Ticker_ANDE,Pearson,0.0098,Low
Ticker_CHX,Pearson,0.0098,Low
company_LHC Group,Pearson,0.0098,Low
prev_rank_58.0,Pearson,0.0098,Low
CEO_Keith G. Myers,Pearson,0.0098,Low
prev_rank_463.0,Pearson,0.0098,Low
CEO_Jonathan H. Weis,Pearson,0.0098,Low
city_Pontiac,Pearson,0.0098,Low
company_Ingredion,Pearson,0.0098,Low
Website_https://www.uwm.com,Pearson,0.0098,Low
Website_https://www.weismarkets.com,Pearson,0.0098,Low
company_Super Micro Computer,Pearson,0.0098,Low
prev_rank_366.0,Pearson,0.0098,Low
company_StoneX Group,Pearson,0.0098,Low
company_SkyWest,Pearson,0.0098,Low
Website_www.stonex.com,Pearson,0.0098,Low
CEO_Patrick Bowe,Pearson,0.0098,Low
CEO_Mimi Eckel Vaughn,Pearson,0.0098,Low
Website_https://www.genesco.com,Pearson,0.0098,Low
Website_https://www.skywest.com,Pearson,0.0098,Low
CEO_Russell A. Childs,Pearson,0.0098,Low
Website_https://www.supermicro.com,Pearson,0.0098,Low
company_Weis Markets,Pearson,0.0098,Low
company_UWM Holdings,Pearson,0.0098,Low
Website_https://www.gms.com,Pearson,0.0098,Low
company_loanDepot,Pearson,0.0098,Low
CEO_Sivasankaran Somasundaram,Pearson,0.0098,Low
CEO_Sherry S. Bahrambeygui,Pearson,0.0098,Low
CEO_Sean M. O&#039;Connor,Pearson,0.0098,Low
Website_https://www.pricesmart.com,Pearson,0.0098,Low
Website_https://www.primoriscorp.com,Pearson,0.0098,Low
city_Brookfield,Pearson,0.0098,Low
city_Lafayette,Pearson,0.0098,Low
CEO_Thomas E. McCormick,Pearson,0.0098,Low
Website_https://www.loandepot.com,Pearson,0.0098,Low
Website_https://www.lhcgroup.com,Pearson,0.0098,Low
Website_https://www.ingredion.com,Pearson,0.0098,Low
Ticker_UWMC,Pearson,0.0098,Low
company_Andersons,Pearson,0.0098,Low
Website_https://www.brinks.com,Pearson,0.0098,Low
Ticker_WMK,Pearson,0.0098,Low
city_Wall,Pearson,0.0097,Low
Website_https://www.insperity.com,Pearson,0.0097,Low
city_Highland Hills,Pearson,0.0097,Low
Website_https://www.beazer.com,Pearson,0.0097,Low
Website_https://www.caleres.com,Pearson,0.0097,Low
Ticker_VRT,Pearson,0.0097,Low
Ticker_VHI,Pearson,0.0097,Low
company_Brinker International,Pearson,0.0097,Low
Ticker_SCL,Pearson,0.0097,Low
company_Beazer Homes USA,Pearson,0.0097,Low
Website_https://www.mantech.com,Pearson,0.0097,Low
company_Caleres,Pearson,0.0097,Low
Ticker_RCII,Pearson,0.0097,Low
Website_https://www.olysteel.com,Pearson,0.0097,Low
Website_https://www.njresources.com,Pearson,0.0097,Low
CEO_Christopher G. McCann,Pearson,0.0097,Low
city_Jericho,Pearson,0.0097,Low
Ticker_NSP,Pearson,0.0097,Low
city_Kingwood,Pearson,0.0097,Low
Ticker_NJR,Pearson,0.0097,Low
CEO_Stephen D. Westhoven,Pearson,0.0097,Low
Website_https://www.scripps.com,Pearson,0.0097,Low
Website_https://www.rentacenter.com,Pearson,0.0097,Low
company_Flowserve,Pearson,0.0097,Low
CEO_Allan P. Merrill,Pearson,0.0097,Low
Ticker_ICE,Pearson,0.0097,Low
CEO_Scott R. Behrens,Pearson,0.0097,Low
CEO_Scott B. Salmirs,Pearson,0.0097,Low
Website_https://www.stepan.com,Pearson,0.0097,Low
Website_https://www.ice.com,Pearson,0.0097,Low
Ticker_MANT,Pearson,0.0097,Low
company_E.W. Scripps,Pearson,0.0097,Low
CEO_J. Kent Masters,Pearson,0.0097,Low
company_Intercontinental Exchange,Pearson,0.0097,Low
Ticker_EAT,Pearson,0.0097,Low
CEO_R. Scott Rowe,Pearson,0.0097,Low
Ticker_ABM,Pearson,0.0097,Low
prev_rank_365.0,Pearson,0.0097,Low
CEO_Richard T. Marabito,Pearson,0.0097,Low
CEO_Robert D. Graham,Pearson,0.0097,Low
Website_https://www.vertiv.com,Pearson,0.0097,Low
Website_https://www.valhi.net,Pearson,0.0097,Low
Ticker_FLS,Pearson,0.0097,Low
Ticker_FLWS,Pearson,0.0097,Low
company_Stepan,Pearson,0.0097,Low
CEO_Adam Symson,Pearson,0.0097,Low
Website_https://www.abm.com,Pearson,0.0097,Low
Website_https://www.1800flowers.com,Pearson,0.0097,Low
CEO_Robert J. Johnson,Pearson,0.0097,Low
company_Insperity,Pearson,0.0097,Low
CEO_Jeffrey C. Sprecher,Pearson,0.0097,Low
company_Vertiv Holdings,Pearson,0.0097,Low
company_Valhi,Pearson,0.0097,Low
company_Rent-A-Center,Pearson,0.0097,Low
CEO_Paul J. Sarvadi,Pearson,0.0097,Low
CEO_Kevin Hochman,Pearson,0.0097,Low
company_ManTech International,Pearson,0.0097,Low
CEO_Kevin M. Phillips,Pearson,0.0097,Low
Ticker_CAL,Pearson,0.0097,Low
CEO_Mitchell E. Fadel,Pearson,0.0097,Low
Ticker_ALB,Pearson,0.0097,Low
Ticker_BZH,Pearson,0.0097,Low
company_New Jersey Resources,Pearson,0.0097,Low
company_Albemarle,Pearson,0.0097,Low
Website_https://www.brinker.com,Pearson,0.0097,Low
company_ABM Industries,Pearson,0.0097,Low
company_Olympic Steel,Pearson,0.0097,Low
Website_https://www.flowserve.com,Pearson,0.0097,Low
Website_https://www.albemarle.com,Pearson,0.0097,Low
Ticker_ZEUS,Pearson,0.0097,Low
CEO_Diane M. Sullivan,Pearson,0.0097,Low
Ticker_SSP,Pearson,0.0097,Low
company_DexCom,Pearson,0.0096,Low
CEO_Shelly R. Ibach,Pearson,0.0096,Low
CEO_Salvatore A. Abbate,Pearson,0.0096,Low
CEO_Sandy Douglas,Pearson,0.0096,Low
Ticker_KELYA,Pearson,0.0096,Low
Website_https://www.pattersoncompanies.com,Pearson,0.0096,Low
Website_https://www.gxo.com,Pearson,0.0096,Low
Ticker_NUS,Pearson,0.0096,Low
company_Designer Brands,Pearson,0.0096,Low
Website_https://www.plexus.com,Pearson,0.0096,Low
Ticker_PDCO,Pearson,0.0096,Low
CEO_Stephen P. Griggs,Pearson,0.0096,Low
company_Central Garden & Pet,Pearson,0.0096,Low
city_Troy,Pearson,0.0096,Low
Website_https://www.dexcom.com,Pearson,0.0096,Low
Website_https://www.designerbrands.com,Pearson,0.0096,Low
CEO_Ryan S. Napierski,Pearson,0.0096,Low
CEO_Andres A. Lopez,Pearson,0.0096,Low
company_EnerSys,Pearson,0.0096,Low
CEO_Anne P. Noonan,Pearson,0.0096,Low
Website_https://www.sleepnumber.com,Pearson,0.0096,Low
Ticker_OPCH,Pearson,0.0096,Low
company_Comfort Systems USA,Pearson,0.0096,Low
Ticker_OI,Pearson,0.0096,Low
Ticker_MOGA,Pearson,0.0096,Low
Website_https://www.nuskin.com,Pearson,0.0096,Low
CEO_Timothy P. Cofer,Pearson,0.0096,Low
CEO_Todd P. Kelsey,Pearson,0.0096,Low
city_East Aurora,Pearson,0.0096,Low
Ticker_PLXS,Pearson,0.0096,Low
CEO_Brian E. Lane,Pearson,0.0096,Low
Website_https://www.optioncarehealth.com,Pearson,0.0096,Low
Website_https://www.o-i.com,Pearson,0.0096,Low
CEO_Eileen P. Drake,Pearson,0.0096,Low
Website_https://www.central.com,Pearson,0.0096,Low
Ticker_VRTV,Pearson,0.0096,Low
Ticker_TTEC,Pearson,0.0096,Low
Website_https://www.comfortsystemsusa.com,Pearson,0.0096,Low
Website_https://www.kellyservices.com,Pearson,0.0096,Low
Ticker_SNBR,Pearson,0.0096,Low
Website_https://www.moog.com,Pearson,0.0096,Low
company_Aerojet Rocketdyne Holdings,Pearson,0.0096,Low
Ticker_UNFI,Pearson,0.0096,Low
company_AdaptHealth,Pearson,0.0096,Low
city_Walnut Creek,Pearson,0.0096,Low
prev_rank_107.0,Pearson,0.0096,Low
CEO_David M. Shaffer,Pearson,0.0096,Low
Ticker_SUM,Pearson,0.0096,Low
Ticker_TDS,Pearson,0.0096,Low
company_Applied Industrial Technologies,Pearson,0.0096,Low
Website_https://www.aerojetrocketdyne.com,Pearson,0.0096,Low
CEO_Mark S. Walchirk,Pearson,0.0096,Low
company_Option Care Health,Pearson,0.0096,Low
Ticker_AJRD,Pearson,0.0096,Low
company_Nu Skin Enterprises,Pearson,0.0096,Low
company_O-I Glass,Pearson,0.0096,Low
Website_https://www.adapthealth.com,Pearson,0.0096,Low
city_Neenah,Pearson,0.0096,Low
Ticker_CENT,Pearson,0.0096,Low
Ticker_DBI,Pearson,0.0096,Low
CEO_Peter W. Quigley,Pearson,0.0096,Low
CEO_LeRoy T. Carlson Jr.,Pearson,0.0096,Low
company_Telephone & Data Systems,Pearson,0.0096,Low
Website_https://www.veritivcorp.com,Pearson,0.0096,Low
Ticker_AIT,Pearson,0.0096,Low
CEO_Malcolm Wilson,Pearson,0.0096,Low
prev_rank_439.0,Pearson,0.0096,Low
company_Plexus,Pearson,0.0096,Low
company_Moog,Pearson,0.0096,Low
CEO_Kevin Sayer,Pearson,0.0096,Low
company_Patterson,Pearson,0.0096,Low
Ticker_AHCO,Pearson,0.0096,Low
CEO_Kenneth D. Tuchman,Pearson,0.0096,Low
Website_https://www.unfi.com,Pearson,0.0096,Low
Website_https://www.summit-materials.com,Pearson,0.0096,Low
Website_https://www.ttec.com,Pearson,0.0096,Low
company_Veritiv,Pearson,0.0096,Low
CEO_Neil A. Schrimsher,Pearson,0.0096,Low
Ticker_DXCM,Pearson,0.0096,Low
Website_https://www.enersys.com,Pearson,0.0096,Low
city_Provo,Pearson,0.0096,Low
Ticker_FIX,Pearson,0.0096,Low
company_TTEC Holdings,Pearson,0.0096,Low
company_United Natural Foods,Pearson,0.0096,Low
city_Perrysburg,Pearson,0.0096,Low
company_Sleep Number,Pearson,0.0096,Low
Ticker_ENS,Pearson,0.0096,Low
Website_https://www.applied.com,Pearson,0.0096,Low
CEO_John R. Scannell,Pearson,0.0096,Low
city_Plymouth Meeting,Pearson,0.0096,Low
company_Kelly Services,Pearson,0.0096,Low
city_Reading,Pearson,0.0096,Low
company_Summit Materials,Pearson,0.0096,Low
Website_https://www.tdsinc.com,Pearson,0.0096,Low
CEO_Roger L. Rawlins,Pearson,0.0096,Low
Ticker_GXO,Pearson,0.0096,Low
company_GXO Logistics,Pearson,0.0096,Low
CEO_John C. Rademacher,Pearson,0.0096,Low
CEO_Erik B. Nordstrom,Pearson,0.0095,Low
Website_https://www.millerknoll.com,Pearson,0.0095,Low
Website_https://www.biglots.com,Pearson,0.0095,Low
Ticker_WOOF,Pearson,0.0095,Low
Ticker_USFD,Pearson,0.0095,Low
city_Zeeland,Pearson,0.0095,Low
prev_rank_128.0,Pearson,0.0095,Low
Ticker_SCHN,Pearson,0.0095,Low
CEO_Carlos E. Alberini,Pearson,0.0095,Low
Ticker_POST,Pearson,0.0095,Low
CEO_Gregory N. Roberts,Pearson,0.0095,Low
Ticker_HUBG,Pearson,0.0095,Low
Website_https://www.coreandmain.com,Pearson,0.0095,Low
city_Rosemont,Pearson,0.0095,Low
Ticker_JWN,Pearson,0.0095,Low
Website_https://www.schnitzersteel.com,Pearson,0.0095,Low
company_Energizer Holdings,Pearson,0.0095,Low
Ticker_JELD,Pearson,0.0095,Low
CEO_Ronald Coughlin Jr.,Pearson,0.0095,Low
CEO_James J. Owens,Pearson,0.0095,Low
CEO_Andrew Iacobucci,Pearson,0.0095,Low
prev_rank_289.0,Pearson,0.0095,Low
Ticker_MLKN,Pearson,0.0095,Low
CEO_W. Troy Rudd,Pearson,0.0095,Low
Website_https://www.hbfuller.com,Pearson,0.0095,Low
CEO_Jack Dorsey,Pearson,0.0095,Low
company_Core & Main,Pearson,0.0095,Low
Website_https://www.jeld-wen.com,Pearson,0.0095,Low
Website_https://www.hgv.com,Pearson,0.0095,Low
Website_https://www.hubgroup.com,Pearson,0.0095,Low
Website_https://www.guess.com,Pearson,0.0095,Low
CEO_Stephen O. LeClair,Pearson,0.0095,Low
CEO_Bruce K. Thorn,Pearson,0.0095,Low
Website_https://www.petco.com,Pearson,0.0095,Low
Website_https://www.postholdings.com,Pearson,0.0095,Low
CEO_Tamara L. Lundgren,Pearson,0.0095,Low
company_Big Lots,Pearson,0.0095,Low
Website_https://www.nordstrom.com,Pearson,0.0095,Low
company_Block,Pearson,0.0095,Low
CEO_Robert V. Vitale,Pearson,0.0095,Low
prev_rank_189.0,Pearson,0.0095,Low
company_Hub Group,Pearson,0.0095,Low
Ticker_FUL,Pearson,0.0095,Low
prev_rank_495.0,Pearson,0.0095,Low
company_JELD-WEN Holding,Pearson,0.0095,Low
company_Schnitzer Steel Industries,Pearson,0.0095,Low
Ticker_ENR,Pearson,0.0095,Low
company_US Foods Holding,Pearson,0.0095,Low
Website_https://www.energizerholdings.com,Pearson,0.0095,Low
Ticker_HGV,Pearson,0.0095,Low
prev_rank_323.0,Pearson,0.0095,Low
company_Hilton Grand Vacations,Pearson,0.0095,Low
CEO_Andrea R. Owen,Pearson,0.0095,Low
company_H.B. Fuller,Pearson,0.0095,Low
company_Guess,Pearson,0.0095,Low
Ticker_GES,Pearson,0.0095,Low
company_Petco Health and Wellness,Pearson,0.0095,Low
Ticker_CNM,Pearson,0.0095,Low
CEO_Kevin C. Lilly,Pearson,0.0095,Low
company_MillerKnoll,Pearson,0.0095,Low
Ticker_BIG,Pearson,0.0095,Low
Website_www.usfoods.com,Pearson,0.0095,Low
company_Post Holdings,Pearson,0.0095,Low
Ticker_ACM,Pearson,0.0095,Low
Website_https://www.amark.com,Pearson,0.0095,Low
Website_https://www.aecom.com,Pearson,0.0095,Low
CEO_Mark D. Wang,Pearson,0.0095,Low
Ticker_AMRK,Pearson,0.0095,Low
company_Nordstrom,Pearson,0.0095,Low
CEO_Mark S. LaVigne,Pearson,0.0095,Low
Ticker_SQ,Pearson,0.0095,Low
CEO_David P. Yeager,Pearson,0.0095,Low
Website_https://www.block.xyz,Pearson,0.0095,Low
company_A-Mark Precious Metals,Pearson,0.0095,Low
company_AECOM,Pearson,0.0095,Low
company_Acadia Healthcare,Pearson,0.0094,Low
company_Acushnet Holdings,Pearson,0.0094,Low
Website_https://www.cokeconsolidated.com,Pearson,0.0094,Low
prev_rank_408.0,Pearson,0.0094,Low
CEO_David Maher,Pearson,0.0094,Low
company_Avnet,Pearson,0.0094,Low
CEO_Christopher H. Hunter,Pearson,0.0094,Low
Ticker_SPB,Pearson,0.0094,Low
CEO_Thomas E. Gottwald,Pearson,0.0094,Low
company_NewMarket,Pearson,0.0094,Low
Website_https://www.newmarket.com,Pearson,0.0094,Low
Ticker_COKE,Pearson,0.0094,Low
CEO_Barry R. Port,Pearson,0.0094,Low
company_Coca-Cola Consolidated,Pearson,0.0094,Low
CEO_Stephen G. Kaniewski,Pearson,0.0094,Low
Ticker_DAN,Pearson,0.0094,Low
Ticker_VMI,Pearson,0.0094,Low
city_San Juan Capistrano,Pearson,0.0094,Low
Website_https://www.avnet.com,Pearson,0.0094,Low
Ticker_KTB,Pearson,0.0094,Low
company_Ensign Group,Pearson,0.0094,Low
Website_https://www.spectrumbrands.com,Pearson,0.0094,Low
CEO_Scott H. Baxter,Pearson,0.0094,Low
Website_https://www.ensigngroup.net,Pearson,0.0094,Low
CEO_James K. Kamsickas,Pearson,0.0094,Low
company_Spectrum Brands Holdings,Pearson,0.0094,Low
prev_rank_168.0,Pearson,0.0094,Low
